Societe;Agence;Nom de la station;Proprietaire de la station;lon;lat;joindre des photos;Type de la station;Type de mobilier;Existence de bancs;Existence eclairage;Existence poubelle;Existence acces PMR;Type TNRP;Commune;Delegation;Gouvernorat;Code-Station
TRANSTU;District tunis 1;El mrezguia r- ;Dépôt el Bokri ;10.0609024;36.9138343;http://mdc.giscloud.com/rest/1/layers/3536205/features/1897/joindre_des_photos/mdc_photo_mdc_360cc0_1613980148613_1613980171400.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1897/joindre_des_photos/mdc_photo_mdc_8b4041_1613980160054_1613980171400.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;Sidi thabet ;Sidi thabet ;Ariana ;
TRANSTU;District tunis 1;École sidi thabet a-;Dépôt el Bokri ;10.0552892;36.9128634;http://mdc.giscloud.com/rest/1/layers/3536205/features/1898/joindre_des_photos/mdc_photo_mdc_b79235_1613980389545_1613980408369.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1898/joindre_des_photos/mdc_photo_mdc_096265_1613980400321_1613980408369.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;Sidi thabet ;Sidi thabet ;Ariana ;
TRANSTU;District tunis 1;Thaknet oued ellil a-;Dépôt el Bokri ;10.058425;36.8253706;http://mdc.giscloud.com/rest/1/layers/3536205/features/1871/joindre_des_photos/mdc_photo_mdc_00b160_1613816282192_1613816393643.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;Oued ellil ;Oued ellil ;Manouba ;
TRANSTU;District tunis 1;École sidi thabet ;Dépôt el Bokri ;10.0553373;36.9127607;http://mdc.giscloud.com/rest/1/layers/3536205/features/1899/joindre_des_photos/mdc_photo_mdc_61248f_1613980458862_1613980496048.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1899/joindre_des_photos/mdc_photo_mdc_b36069_1613980466038_1613980496048.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1899/joindre_des_photos/mdc_photo_mdc_ef8698_1613980474454_1613980496048.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;Sidi thabet ;Sidi thabet ;Ariana ;
TRANSTU;District tunis 1;Balhouen ;Dépôt el Bokri ;10.17425;36.8064;http://mdc.giscloud.com/rest/1/layers/3536205/features/1744/joindre_des_photos/mdc_photo_mdc_8e582f_1613646692944_1613646735569.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1744/joindre_des_photos/mdc_photo_mdc_096dab_1613646711133_1613646735570.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1744/joindre_des_photos/mdc_photo_mdc_dc61f8_1613646725020_1613646735570.jpg?reqlogin;Station bus;Abri /Toteur / Batiment;yes;yes;no;yes;;Tunis ;Bab bhar ;Tunis ;
TRANSTU;District tunis 1;El hnèya (3 A)   -a-;Dépôt el Bokri ;10.148611;36.81369;http://mdc.giscloud.com/rest/1/layers/3536205/features/1751/joindre_des_photos/mdc_photo_mdc_998a02_1613648774914_1613648787997.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1751/joindre_des_photos/mdc_photo_mdc_3f3ee0_1613648783088_1613648787997.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;Bardo ;Bardo ;Tunis ;
TRANSTU;District tunis 1;El hnèya (3A)   -r- ;Dépôt el Bokri ;10.148587;36.813575;http://mdc.giscloud.com/rest/1/layers/3536205/features/1752/joindre_des_photos/mdc_photo_mdc_726c4d_1613648812368_1613648895736.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1752/joindre_des_photos/mdc_photo_mdc_f8d99c_IMG_20210218_124623_1613648895736.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;Bardo ;Bardo ;Tunis ;
TRANSTU;District tunis 1;Sidi thabet   a-;Dépôt el Bokri ;10.0413839;36.9077562;http://mdc.giscloud.com/rest/1/layers/3536205/features/1902/joindre_des_photos/mdc_photo_mdc_354335_1613981048984_1613981069781.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1902/joindre_des_photos/mdc_photo_mdc_6c0f4a_1613981058082_1613981069781.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;Sidi thabet ;Sidi thabet ;Ariana ;
TRANSTU;District tunis 1;Lycée sidi thabet a- ;Dépôt el Bokri ;10.0486277;36.9113642;http://mdc.giscloud.com/rest/1/layers/3536205/features/1900/joindre_des_photos/mdc_photo_mdc_4d7c5f_1613980685344_1613980724212.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1900/joindre_des_photos/mdc_photo_mdc_898eb5_1613980702460_1613980724212.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1900/joindre_des_photos/mdc_photo_mdc_a5e1c6_1613980719000_1613980724212.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;Sidi thabet ;Sidi thabet ;Ariana ;
TRANSTU;District tunis 1;Mosquée ennour douar hicher   -r- ;Dépôt el Bokri ;10.082158;36.824911;http://mdc.giscloud.com/rest/1/layers/3536205/features/1855/joindre_des_photos/mdc_photo_mdc_237536_1613812643690_1613812662659.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;Douar hicher ;Douar hicher ;Manouba ;
TRANSTU;District tunis 1;Lycée sidi thabet r- ;Dépôt el Bokri ;10.0489369;36.9112676;http://mdc.giscloud.com/rest/1/layers/3536205/features/1901/joindre_des_photos/mdc_photo_mdc_f87591_1613980804265_1613980832068.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1901/joindre_des_photos/mdc_photo_mdc_ac6041_1613980818258_1613980832068.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;Sidi thabet ;Sidi thabet ;Ariana ;
TRANSTU;District tunis 1;Sidi thabet r- ;Dépôt el Bokri ;10.0415631;36.9076733;http://mdc.giscloud.com/rest/1/layers/3536205/features/1903/joindre_des_photos/mdc_photo_mdc_ca9142_1613981141212_1613981203078.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1903/joindre_des_photos/mdc_photo_mdc_6cce36_1613981171013_1613981203078.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1903/joindre_des_photos/mdc_photo_mdc_e29b29_1613981182264_1613981203078.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1903/joindre_des_photos/mdc_photo_mdc_bc4079_1613981193338_1613981203078.jpg?reqlogin;Arrêt bus;Abri;no;no;no;no;;Sidi thabet ;Sidi thabet ;Ariana ;
TRANSTU;District tunis 1;Maahed el filaha a-;Dépôt el Bokri ;10.0393787;36.9057009;http://mdc.giscloud.com/rest/1/layers/3536205/features/1904/joindre_des_photos/mdc_photo_mdc_902928_1613981372364_1613981407328.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1904/joindre_des_photos/mdc_photo_mdc_5d2786_1613981384988_1613981407328.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1904/joindre_des_photos/mdc_photo_mdc_54b400_1613981402008_1613981407328.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;Sidi thabet ;Sidi thabet ;Ariana ;
TRANSTU;District tunis 1;Maahed al filaha r- ;Dépôt el Bokri ;10.0394326;36.9056545;http://mdc.giscloud.com/rest/1/layers/3536205/features/1905/joindre_des_photos/mdc_photo_mdc_ec970b_1613981487514_1613981501561.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1905/joindre_des_photos/mdc_photo_mdc_6bef54_1613981496581_1613981501561.jpg?reqlogin;Arrêt bus;Poteau;no;no;no;no;;Sidi thabet ;Sidi thabet ;Ariana ;
TRANSTU;District tunis 1;Essweyhia  a-;Dépôt el Bokri ;10.0363812;36.9035014;http://mdc.giscloud.com/rest/1/layers/3536205/features/1906/joindre_des_photos/mdc_photo_mdc_42c390_1613981702118_1613981724533.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1906/joindre_des_photos/mdc_photo_mdc_2beb2d_1613981717175_1613981724533.jpg?reqlogin;Arrêt bus;Poteau;no;no;no;no;;Sidi thabet ;Sidi thabet ;Ariana ;
TRANSTU;District tunis 1;Essweyhia r- ;Dépôt el Bokri ;10.0360611;36.9031696;http://mdc.giscloud.com/rest/1/layers/3536205/features/1907/joindre_des_photos/mdc_photo_mdc_5d6cfb_1613981807443_1613981836654.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1907/joindre_des_photos/mdc_photo_mdc_e1f595_1613981816066_1613981836654.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1907/joindre_des_photos/mdc_photo_mdc_d85aba_1613981831373_1613981836654.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;Sidi thabet ;Sidi thabet ;Ariana ;
TRANSTU;District tunis 1;Ezanga a-;Dépôt el Bokri ;9.7766541;36.817524;http://mdc.giscloud.com/rest/1/layers/3536205/features/2243/joindre_des_photos/mdc_photo_mdc_d0a422_1614328185334_1614328197996.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/2243/joindre_des_photos/mdc_photo_mdc_59e928_1614328192235_1614328197996.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;Tebourba ;Tebourba ;Manouba ;
TRANSTU;District tunis 1;Bieza   -a-;Dépôt el Bokri ;9.863067;36.803235;http://mdc.giscloud.com/rest/1/layers/3536205/features/2190/joindre_des_photos/mdc_photo_mdc_7bf932_1614249163616_1614249193367.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/2190/joindre_des_photos/mdc_photo_mdc_1e8bad_1614249174255_1614249193367.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;El battan ;El battan ;Manouba ;
