ع/ر  المندوبية;المندوبية الجهوية للتربية;المعتمدية;إسم المؤسّسة;نوع المؤسسة;العنوان
2;تونس 2;العمران;م.إبت.خ الذكية;ابتدائي;08 نهج ايليا ابو ماضي العمران
2;تونس 2;المنزه;م.إبت.خ LARUS SCHOOL;ابتدائي;05 شارع امهات تونس المنار1
2;تونس 2;باردو;م.إبت.خ نور المشكاة;ابتدائي;طريق بنزرت كلم 3 شارع المنجي سليم النقرة 2009 
2;تونس 2;المنزه;م. ابت. خ المدرسة الفرتسية الدولية;ابتدائي;4 نهج المنزل الجميل
2;تونس 2;الزهور;م.إبت.خ سيرين سكول;ابتدائي;نهج 41948 عدد 36 الزهور 3 تونس
2;تونس 2;العمران الأعلى;"م.إبت.خ ""Palmares""";ابتدائي;24 نهج الزواكرة  حدائق المنزه01
2;تونس 2;العمران الأعلى;م.إبت.خ الشعلة;ابتدائي;06 نهج 62127 ىحي الصديق العمران الاعلى تونس
2;تونس 2;المنزه;المدرسة الابتدائية الخاصة THE TARGET SCHOOL المنار 3;ابتدائي;21 نهج مصباح الجربوعي المنار 3 تونس
2;تونس 2;باردو;"م.إبت.خ ""Emile Zola""";ابتدائي;شارع المنجي سليم قصر سعيد 2 باردو
2;تونس 2;باردو;م.إبت.خ المواهب;ابتدائي;نهج الأخوة خزندار باردو 
2;تونس 2;المنزه;م.إبت.خ قرطاج الكلاسيكية;ابتدائي;15نهج بن تيمية المنزه4
2;تونس 2;سيدي حسين;م.إبت.خ ادم سكول;ابتدائي;عدد3نهج البانيا سيدي حسين تونس
3;أريانة;أريانة;م.إبت.خ ينبوع المعرفة لفونتان;ابتدائي;المنزه السابع تقسيم القمودي عدد 4
3;أريانة;رواد;م.إبت.خ مسالك;ابتدائي;20 شارع افلاطون 2083حى الغزالة اريانة
3;أريانة;رواد;م.إبت.خ الأوديسة;ابتدائي;نهج السنبل عدد 07 تقسيم الحي الجديد حي الغزالة
3;أريانة;أريانة;م.إبت.خ دار الأسرة المنزه 6;ابتدائي;02 نهج المعهد منزه 6 
3;أريانة;أريانة;م.إبت.خ سنابل الأمل;ابتدائي;44 شارع الديمقراطية المنزه 5
3;أريانة;أريانة;م.إبت.خ المختار;ابتدائي;4شارع معاوية ابن أبي سفيان المنزه 8 أريانة 
3;أريانة;أريانة;م.إبت.خ سليم سكول النصر;ابتدائي;LE40 النصر اريانة
3;أريانة;أريانة;م.إبت.خ المعرفة;ابتدائي;19 نهج آلبانيا رياض النصر1
3;أريانة;سكرة;م.إبت.خ لاجوكندا التوأم;ابتدائي;إقامة الياس دار فضال سكرة
3;أريانة;أريانة;م.إبت.خ ابن سينا;ابتدائي;20 نهج صور المنزه 8
3;أريانة;أريانة;م.إبت.خ ريني ديكارت;ابتدائي;شارع جاكارند النصر 2
3;أريانة;أريانة;م.إبت.خ زهرة الربيع;ابتدائي;2 نهج يوسف صاحب الطابع المنزه 7
3;أريانة;رواد;م.إبت.خ المدرسة;ابتدائي;55 شارع فتحي زهير النخيلات أريانة 
3;أريانة;المنيهلة;م.إبت.خ سمارت سكول الذكية;ابتدائي;حدائق المنزه2
3;أريانة;أريانة;م.إبت.خ منديال سكول اريانة;ابتدائي;8 نهج الكاهنة اريانة جديد 
3;أريانة;المنيهلة;م.إبت.خ الفرابي المنيهلة;ابتدائي;طريق بنزرت كم 9 صنهاجي المنيهلة 
3;أريانة;أريانة;م.إبت.خ اريان سكول اريانة;ابتدائي;12 نهج بلحسين جراد أريانة
3;أريانة;أريانة;م.إبت.خ école la rousse;ابتدائي;31 نهج منزل بورقيبة برج البكوش 
3;أريانة;أريانة;م.إبت.خ العباسي سكول اريانة;ابتدائي;11 نهج التوت رياض الاندلس
3;أريانة;أريانة;م.إبت.خ بودلار اريانة;ابتدائي;20نهج المنجي سليم المنزه الخامس
3;أريانة;سكرة;م.إبت.خ الطريقي اريانة;ابتدائي;24 نهج المسعودي 
3;أريانة;سكرة;م.إبت.خ نوبل سكول برج الوزير;ابتدائي;8نهج باريس برج الوزير اريانة
3;أريانة;رواد;م.إبت.خ الافق الجديد رواد;ابتدائي;34 نهج عمار الدخلاوي - حي الغزالة
3;أريانة;رواد;م.إبت.خ la misty school;ابتدائي;04 شارع الأهرام حي الغزالة أريانة 
3;أريانة;رواد;م.إبت.خ عليسة سكول رواد;ابتدائي;16 نهج فولتار حي الغزالة 
3;أريانة;رواد;م.إبت.خ امال سكرة;ابتدائي;26 نهج منداس فرنس شطرانة 2  أريانة
3;أريانة;رواد;م.إبت.خ الكندي سكرة;ابتدائي;مقطع 13 و 14 المنطقة الصناعية شطرانة أريانة
3;أريانة;المنيهلة;م.إبت.خ سليمة سكول اريانة;ابتدائي;أرض بن رحومة حدائق المنزه 
3;أريانة;رواد;م.إبت.خ موليير MOLIERE;ابتدائي;1 زنقة النجاح النخيلات حي الغزالة 
3;أريانة;سكرة;م.إبت.خ LE PETIT ROBERT;ابتدائي;برج الوزير سكرة 
3;أريانة;سكرة;م.إبت.خ فريناي;ابتدائي;7 نهج سوريا دار فضال
3;أريانة;أريانة;م.إبت.خecole george sand;ابتدائي;حي اليمامة نهج الشحرور عدد1 النصر2
3;أريانة;أريانة;م.إبت.خ paradise school;ابتدائي;3 نهج المهدية المنزه 5
3;أريانة;سكرة;م.إبت.خ ابن زهر;ابتدائي;9 شارع دار فضال سكرة
3;أريانة;أريانة;م.إبت.خ tanit school;ابتدائي;67 نهج ابن خلدون رياض الاندلس أريانة
3;أريانة;أريانة;م.إبت.خ palmares;ابتدائي;5 مكرر نهج الإمام ابن عرفة - المنزه 8
3;أريانة;أريانة;م.إبت.خ جون مرموز;ابتدائي;شارع مصطفى حجيج اريانة 
3;أريانة;أريانة;م.إبت.خ la chandelle;ابتدائي;5  نهج عبد الرزاق كرباكة  المنزه 5 
3;أريانة;المنيهلة;م.إبت.خ ايوب سكول;ابتدائي;تقسيم والي كلم 6.5 طريق بنزرت المنيهلة
3;أريانة;قلعة الأندلس;م.إبت.خ فرسان الاندلس;ابتدائي;شارع الصادق بالحاج قلعة الاندلس 
3;أريانة;رواد;م.إبت. خ نخبة الياسمين;ابتدائي;نهج الانصار  حي الغزالة  
3;أريانة;سكرة;"م.إبت.خ ""Niels Bohr""";ابتدائي;20 مكرر نهج الدهماني حي الهادي نويرة 
3;أريانة;رواد;م.إبت.خ الإسكندر;ابتدائي;شارع فتحي زهير النخيلات أريانة 
3;أريانة;رواد;م.إبت.خ الأنوار;ابتدائي;3 نهج جزر القمور أريانة الشمالية
3;أريانة;سكرة;م.إبت.خ أكادمية قرطاج;ابتدائي;11 نهج سناء الملك سكرة 
3;أريانة;سكرة;م.ابت.خ تاك آب سكول;ابتدائي;8 نهج نيوتن مقسم عدد 6 شطرانة 2 
3;أريانة;سكرة;م.إبت.خ نيوتن سكول;ابتدائي;12 نهج جون كينس شطرانة 2
3;أريانة;سكرة;م.ابت.خ جون راسين;ابتدائي;9 نهج محمد الهادي العامري المنزه 7
3;أريانة;قلعة الأندلس;م.ابت.خ مدرستنا قلعة الاندلس ;ابتدائي;حي المروج قلعة الاندلس
3;أريانة;رواد;م, إبيت خ LA SCUOLA DI SOKRATES;ابتدائي;7 نهج ملوش حي شاكر 
3;أريانة;المنيهلة; م.ابت.خ طاليس سكول;ابتدائي;طريق بنزرت كم6 المنيهلة أريانة 
3;أريانة;حي التضامن;م.ابت.خ اقرا و ارتقي;ابتدائي;نهج بني خيار عدد18التضامن 
3;أريانة;سكرة;م.ابت.خ الفوز الدولية بسكرة;ابتدائي;تونس شطرانة 03 نهج المسعودي
3;أريانة;رواد;م.ابت.خ ميشال فوكو;ابتدائي;اريانة الصغرى شطرانة 2
3;أريانة;المنيهلة;م.ابت.خ النخبة الدولية;ابتدائي;شارع الفل حدائق المنزه 2
3;أريانة;سكرة;م.إبت.خ البريطانية الدولية بتونس;ابتدائي;نهج المنتزه سكرة عدد49
3;أريانة;سكرة;م.ابت.خ Honoré de Balzac ;ابتدائي;شارع الشيخ محمد النيفر عدد 217  سكرة 2036
3;أريانة;سكرة;م.الابتدائية الخاصة الزهر برج الوزير;ابتدائي;1نهج السوق حي الهادي نويرة
3;أريانة;قلعة الأندلس;م.الابتدائية الخاصة  مرام سكول;ابتدائي;طريق اوتيك
